Name                       Version                         Rev    Tracking         Publisher       Notes
bare                       1.0                             5      latest/stable    canonical**     base
chromium                   150.0.7871.46                   3483   latest/stable    canonical**     -
chromium-ffmpeg            May18-Mar16-Feb09-Jan28-etc     118    latest/stable    canonical**     -
code                       fc3def67                        249    latest/stable    vscode**        classic
core                       16-2.61.4-20260225              17292  latest/stable    canonical**     core
core18                     20260204                        2999   latest/stable    canonical**     base
core20                     20260410                        2866   latest/stable    canonical**     base
core22                     20260225                        2411   latest/stable    canonical**     base
core24                     20260410                        1643   latest/stable    canonical**     base
cups                       2.4.19-2                        1225   latest/stable    openprinting**  -
discord                    1.0.154                         304    latest/stable    snapcrafters*   -
firefox                    153.0.4-1                       8754   latest/stable/…  mozilla**       -
gnome-3-28-1804            3.28.0-19-g98f9e67.98f9e67      198    latest/stable    canonical**     -
gnome-42-2204              0+git.4982e7b-sdk0+git.69b626a  263    latest/stable/…  canonical**     -
gnome-46-2404              0+git.b31ceab-sdk0+git.f0723a0  164    latest/stable    canonical**     -
gtk-common-themes          0.1-81-g442e511                 1535   latest/stable/…  canonical**     -
gtk-theme-breeze           1.5                             8      latest/stable/…  kde**           -
hunspell-dictionaries      u16.04-20180902+pkg-8e08        21     latest/stable    brlin           -
icon-theme-breeze          1.3                             5      latest/stable/…  kde**           -
kf6-core24                 6.11.1-6.27.0-6.7.0-26.04.2     64     latest/stable    kde**           -
lxqt-support-core24        6.10.1                          16     latest/stable    kyuyrii         -
mesa-2404                  25.0.7-snap211                  1165   latest/stable    canonical**     -
notion-snap-reborn         1.3.4                           54     latest/stable    sunshio         -
qt515-core20               5.15.4                          46     latest/stable    keshavnrj*      -
snapd                      2.76                            27406  latest/stable    canonical**     snapd
thunderbird                140.12.1esr-1                   1170   latest/stable/…  canonical**     -
youtube-music-desktop-app  1.13.0                          6      latest/stable    adlerluiz       -
